"","296-100-3","296-20-3","296-60-3","297-100-3","297-40-3","297-60-3","298-20-3","298-200-3","300-100-3","300-20-3","300-200-3","300-40-3","300-60-3","302-100-3","302-20-3","302-60-3","304-100-3","304-20-3","304-40-3","304-70-3","306-100-3","306-20-3","306-200-3","306-40-3","306-60-3","307-100-3","307-20-3","307-200-3","307-40-3","307-60-3","310-100-3","310-40-3","310-60-3","311-20-3","311-40-3","312-20-3","312-200-3","313-20-3","313-90-3","314-20-3","314-60-3","314-95-3","315-20-3","315-65-3","317-100-3","317-20-3","317-40-3","317-60-3","318-100-3","318-20-3","318-40-3","319-100-3","319-20-3","319-40-3","319-60-3","320-100-3","320-20-3","320-200-3","320-40-3","321-200-3","321-40-3","321-60-3","322-100-3","322-20-3","322-200-3","322-40-3","322-60-3","323-100-3","323-200-3","326-100-3","326-20-3","326-200-3","326-40-3","326-55-3","328-100-3","328-20-3","328-200-3","328-40-3","328-60-3","329-100-3","329-20-3","329-200-3","329-40-3","329-60-3","330-100-3","330-20-3","330-200-3","330-40-3","330-60-3","178-100-3","178-20-3","178-200-3","178-40-3","178-60-3","179-100-3","179-20-3","179-60-3","193-100-3","193-20-3","193-40-3","193-60-3","241-100-3","241-20-3","241-200-3","241-40-3","241-60-3","262-20-3","262-200-3","262-40-3","262-60-3","267-100-3","267-20-3","267-200-3","267-60-3","287-100-3","287-20-3","287-200-3","287-40-3","287-60-3"
"306-200-3",0.98,1,1,0.94,1,1,1,0.16,1,0.07,1,0.98,1,0.75,1,1,1,1,1,0.01,0.72,0.92,0,0.99,0.99,0.94,1,-0.99,1,1,0.96,0.97,0.99,1,1,1,-0.83,1,1,1,1,1,1,1,0.56,1,1,0.61,0.25,1,1,0.08,1,0.98,0.68,0.72,1,-0.09,1,0.11,1,1,0.99,1,-0.53,1,1,1,0.86,0.95,1,-0.52,1,1,1,1,0.84,1,1,1,1,0.51,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.74,0.99,1,0.87,0.99,1,0.99,0.63,0.99,1,1,1,0.94,1,0.79,0.97,0.36,1,0.98
"306-40-3",1,1,1,1,1,1,1,1,-0.99,1,-0.43,0.93,-0.64,0.99,-1,0.56,0.68,-1,-1,1,0.98,-1,0.99,0,-1,0.67,-1,0.98,-1,-1,-1,-1,-1,-1,-1,-1,0.99,-1,-1,-1,-1,0.92,-1,0.93,1,-1,-0.85,1,1,-0.92,0.66,1,0.98,1,1,1,0.35,1,-0.15,0.99,0.82,0.38,1,0.95,0.97,0.91,0.98,0.98,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"306-60-3",1,1,1,1,1,1,1,1,-1,1,-0.22,0.85,-0.78,0.99,-1,0.53,0.38,-0.99,-0.99,1,0.96,-1,0.99,-1,0,0.54,-1,0.95,-1,-1,-1,-1,-1,-1,-1,-0.99,1,-1,-1,-1,-1,0.68,-1,0.81,1,-0.95,-0.66,1,1,-0.66,0.73,1,0.99,0.99,1,1,0.09,1,0.04,1,0.86,0.4,0.99,0.95,1,0.95,0.93,0.86,1,1,0.99,1,0.97,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"307-100-3",1,1,1,1,1,1,1,1,0.84,1,0.95,0.56,0.83,-0.17,0.92,-0.06,0.04,0.96,0.96,0.62,-1,0.78,0.94,0.67,0.54,0,0.59,0.68,0.7,0.56,0.94,0.95,0.79,0.81,0.82,0.78,0.9,0.88,0.63,0.95,0.78,-0.98,0.91,-1,1,0.86,0.45,0.83,0.99,0.62,-0.49,1,1,0.71,0.99,0.99,0.95,1,0.93,0.96,0.97,0.9,0.96,0.98,0.95,0.98,0.79,0.62,1,0.99,0.86,0.99,0.7,0.33,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"307-20-3",1,1,1,1,1,1,1,1,-0.99,1,-0.43,0.93,-0.68,1,-1,0.62,0.66,-1,-0.99,1,0.99,-1,1,-1,-1,0.59,0,0.99,-1,-1,-1,-1,-1,-1,-1,-1,0.99,-1,-1,-1,-1,0.85,-1,0.88,1,-1,-0.83,1,1,-0.87,0.62,1,0.97,1,1,1,0.3,1,-0.14,1,0.87,0.28,1,0.92,0.98,0.85,0.95,0.97,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"307-200-3",0.97,1,0.99,0.93,1,0.99,1,0.21,1,-0.26,1,0.94,1,0.5,1,1,1,1,1,-0.15,0.16,0.96,-0.99,0.98,0.95,0.68,0.99,0,1,1,1,1,0.99,1,1,1,-0.87,1,1,0.99,1,0.99,1,0.97,-0.21,1,0.97,0.18,-0.01,1,1,-0.08,1,0.96,0.27,0.36,1,-0.41,1,-0.25,1,1,0.9,1,-0.47,1,1,1,0.63,0.83,1,-0.39,1,1,0.99,1,0.6,1,1,1,1,0.11,1,1,1,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,0.72,1,1,0.83,0.99,1,0.99,0.43,1,1,1,1,0.99,1,0.92,0.99,0.31,1,0.98
"307-40-3",1,1,1,1,1,1,1,1,-0.98,1,-0.32,0.97,-0.55,1,-1,0.65,0.74,-1,-1,1,0.99,-1,1,-1,-1,0.7,-1,1,0,-1,-1,-1,-1,-1,-1,-1,0.99,-1,-1,-1,-1,0.9,-1,0.9,1,-1,-0.85,1,1,-0.91,0.62,1,0.98,1,1,1,0.34,1,-0.15,1,0.84,0.36,1,0.93,0.97,0.89,0.97,0.99,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"307-60-3",1,1,1,1,1,1,1,1,-0.99,1,-0.3,0.93,-0.55,0.99,-1,0.51,0.47,-1,-1,1,0.98,-1,1,-1,-1,0.56,-1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.9,-1,0.92,1,-1,-0.78,1,1,-0.89,0.8,1,0.99,1,1,1,0.57,1,0.03,1,0.91,0.5,1,0.96,0.99,0.92,0.95,0.96,1,1,1,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"310-100-3",1,1,1,1,1,1,1,1,-0.95,1,0.09,0.99,-0.46,1,-0.99,0.88,0.91,-0.98,-0.93,1,1,-1,0.96,-1,-1,0.94,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.98,-1,0.98,1,-0.98,-0.36,1,1,-0.55,0.94,1,1,1,1,1,0.68,1,0.47,1,0.88,0.78,1,0.99,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"310-40-3",1,1,1,1,1,1,1,1,-0.93,1,0.23,0.99,-0.31,1,-0.99,0.92,0.95,-0.96,-0.92,1,1,-1,0.97,-1,-1,0.95,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0.99,-1,0.99,1,-0.95,-0.17,1,1,-0.41,0.96,1,1,1,1,1,0.77,1,0.57,1,0.9,0.84,1,0.99,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
